c5	remark
19850101000039A	STRUCK RUNWAY AND PARKED AIRPLANES AFTER ATTEMPTING A LOOP AT TOO LOW AN ALTITUDE.
19850101000049A	MISSED APPROACH AFTER STRIKING TREE. RIGHT ENGINE QUIT. UNABLE TO MAINTAIN ALTITUDE. STRUCK TREES ON FORCED LANDING
19850101000059A	ENGINE LOST POWER IN CRUISE. OVERSHOT EMERGENCY AIRPORT AND COULD NOT MAINTAIN ALTITUDE. LANDED IN RIVER.
19850101001299A	VFR UNRATED PILOT LOST CONTROL IN IFR CONDITIONS. AIRFRAME FAILURE OCCURRED BEFORE AIRCRAFT STRUCK GROUND.
19850101001999I	GEAR WOULD NOT RETACT AFTER TAKEOFF AND PITCH TRIM HORN MADE CONSTANT SOUND. UNEVENTFUL LANDING. CAUSE NOT REPORTED
19850102000079A	LOW ALTITUDE CIRCLING OVER COYOTE HUNTERS, STALLED, AND DIVED INTO GROUND.
19850102000099A	MISCALCULATED ENDURANCE. RAN OUT OF FUEL AND LANDED ON A ROAD, HIT FENCE AND FENCE POST.
19850102000109A	DURING NO FLAP LANDING ON SNOW ICE COVERED RUNWAY AIRCRAFT SKIDDED INTO SNOWBANK AND FLIPPED OVER.
19850102002009I	ROUGH ENGINE ON START UP.SMOOTHED OUT DURING RUN UP. LOST POWER ON TAKEOFF. GASCOLATOR, TANK DRAINS HAD MOISTURE.
19850102002209I	PILOT TAXIING ON RUNWAY GOT BOTH MAIN TIRES ON OUTSIDE OF RUNWAY LIGHTS. TAXIED INTO MUDDY AREA DAMAGING AIRCRAFT.
19850102002229I	PILOT REPORTED HYDRAULIC PROBLEMS, LANDED WITHOUT INCIDENT. HYDRAULIC LOW PRESSURE SWITCH HAD BLOWN APART.
19850102002469I	MAIN TIRE WENT OFF TAXIWAY INTO MUD. THROTTLE APPLIED AND TAIL LIFTED SWUNG AROUND MUSHING PROPELLER INTO MUD.
19850102004459I	AFTER LEVELING OFF LEFT ENGINE RAN ROUGH, BLUE SMOKE TRAILING. FAILURE OF EXHAUST TURBINE FINS,SEALS,SCAVENGE PUMP.
19850102006079I	BOUNCED SEVERAL TIMES ON LANDING ATTEMPT. NOSE GEAR SEPARATED FROM AIRCRAFT.
19850102012069I	TURNED ONTO HIGH SPEED TAXIWAY AND BECAME STUCK. NOT ALERTED OF TAXIWAY CLOSURE DUE TO SNOW BY ATC.
19850102012079A	ENGINE QUIT ON ROLLOUT. HIT SAND DUNE. DIRT AND WATER FOUND IN FUEL PUMP, SADDLE TANKS AND INJECTOR FUEL SCREEN.
19850102012429I	NOSE GEAR NOT LOCKED DOWN. PROPELLER TIPS STRUCK PAVEMENT. GO AROUND INITIATED, EMERGENCY EXTENSION, SAFE LANDING.
19850103000119A	AIRCRAFT IMPACTED GROUND SHORTLY AFTER TAKEOFF. NO KNOWN MECHANICAL OR HUMAN CAUSES. NO ATTITUDE PANEL OR REFERENCE
19850103000129A	MADE PRECAUTIONARY LANDING DUE TO LOW CEILING AND HEAVY SNOW.
19850103000149A	REPORTED ENGINE FLAMEOUT ON DEPARTURE. AUTOROTATED TO BEACH. STRETCHED GLIDE. LOW ROTOR SPEED CHOPPED TAILBOOM.
19850103000559A	ATTEMPTED TO PULL OUT SNOWCAT STUCK IN MUD. EXCEEDED HELICOPTER LATERAL CG, IMPACTED SHALLOW WATER ON RIGHT SIDE.
19850103001309I	EXPERIENCED PITCH UP AT CRUISE. RETURNED TO AIRPORT. STABILIZER TRIM ACTUATOR REPLACED.
19850103001819I	PILOT PULLED PROP THROUGH AFTER REMOVING TIEDOWN CHAINS AND CHOCKS, ENGINE STARTED. RAN INTO SEVERAL PLANES.
19850103002389I	JUMPSTART DUE TO DEAD BATTERY. RETRACTED GEAR AFTER TAKEOFF HAD LOW VOLT LIGHT. DID NOT VISUALLY CHECK GEAR DOWN.
19850103004419I	STUDENT WAS LOST ON SOLO CROSS COUNTRY. LANDED AT CONTROLLED AIRPORT WITHOUT RADIO CONTACT.
19850103004479I	AFTER TAKEOFF, PILOT HAD FLUCTUATING OIL PRESSURE. RETURNED TO AIRPORT. FOUND ENGINE OIL LOW. SERVICED, CHECKED OK.
19850103004859I	LOST POWER ON NR2 ENGINE AFTER TAKEOFF. 4TH STAGE TURBINE WHEEL FAILED. SMALL PIECE OF METAL STRUCK CAR UNDER PATH.
19850103004899I	FLAMES FROM RIGHT ENGINE ON TAKEOFF ROLL. CYLINDER SEPARATED BREAKING FUEL INJECTION LINE.
19850103005519I	PILOT EXPERIENCED ROUGH ENGINE, RETURNED FOR LANDING. FOUND BROKEN PRIMER LINE.  REPLACED LINE.
19850103005639I	AT START OFF TAKEOFF ROLL AIRCRAFT NOSED OVER. CIRCULAR WINDS WERE POSSIBLE DUE TO HANGARS NEARBY.
19850103005819I	AS AIRCRAFT TURNED ONTO RUNWAY PILOT HEARD THUMP. RETURNED TO GATE. GOUGE IN PROP BLADE. UNABLE TO LOCATE CAUSE.
19850103007209I	NOTAM SAID 50 FT WIDTH SNOW CLEARED. AREA CLEARED WAS 30 FT WITH CURVE. WHEEL STRUCK SNOWBANK, ENGINES INTO SNOW.
19850103019149I	UNSAFE GEAR INDICATION. COLLAPSED ON LANDING. NOSE GEAR WAS JAMMED IN UP AND LOCKED POSITION. POSSIBLE ICE FACTOR.
19850103030719I	DURING TURN TO GATE, ELEVATOR STRUCK FENCE. WINGWALKERS DID NOT ANTICIPATE PROBLEM.
19850104000229A	FORCED OFF SIDE OF RUNWAY BY WIND THAT EXCEEDED MAX. CROSSWIND COMPONENT OF AIRCRAFT. NOSED OVER ONTO ITS BACK.
19850104000569A	BOUNCED ON LANDING AND DRIFTED TO SIDE OF RUNWAY. MAIN WHEEL WENT INTO SNOWBANK. RUNWAY LIGHT GLARE A FACTOR.
19850104001159A	ENGINE RPM DROPPED. EMERGENCY LANDING IN FIELD. TEETH OF MAGNETO DRIVE BROKEN.
19850104001279A	BUILT IN OXYGEN TANK CONTAMINATED WITH WATER. PILOT HYPOXIC. PASSENGER FLEW TO FINAL, PILOT THEN LANDED SHORT.
19850104002359I	PILOT STATED HE FLARED TOO HIGH AND BOUNCED COLLAPSING NOSE GEAR.
19850104004849I	LOST POWER IN BOTH ENGINES. LANDED IN WATER. AIRCRAFT SANK. SALT WATER DESTROYED AIRCRAFT AND CAUSAL EVIDENCE.
19850104005729I	WHILE BEING HELD ON TAXIWAY 474 JET WASH BLEW ROCK AND DEBRIS FROM NEW CONSTRUCTIN AREA. BROKE WINDSHIELD, WINDOWS.
