c5	remark
19900101000029A	LANDED ON ICE COVERED RUNWAY,SLID INTO UNPLOWED SNOW ON RUNWAY SIDE AND NOSED OVER. NO WINTER OPERATION EXPERIENCE.
19900101002579I	ENGINE FAILED. FORCED LANDING ON ROAD. FOUND CRANKSHAFT GEAR DOWEL PIN SHEARED OFF.
19900101002829I	HIT SEAGULL AFTER TAKEOFF. CONTINUED TO DESTINATION. RADOME DENTED AND TAIL SKIN DAMAGED.
19900101002959I	ELECTRICAL FUMES IN COCKPIT. DIVERTED AND LANDED. FOUND DEFECTIVE WINDSHIELD HEATER.
19900101003319I	HARD LANDING. BOUNCED TWICE. NOSE GEAR COLLAPSED REARWARD. TOUCHED DOWN ON NOSE GEAR.
19900101004439I	LOST DIRECTIONAL CONTROL ON TOUCH DOWN DUE TO WIND GUST. CAUSED A SIDE LOAD AND LEFT MAIN GEAR FOLDED.
19900101004449I	LANDING GEAR COLLAPSED ON LANDING ROLLOUT. INVESTIGATION REVEALED A SHORT CIRCUIT IN LEFT HAND DOWN LIMIT SWITCH.
19900101004519I	AIRCRAFT DAMAGED DURING GROUND HANDLING.
19900101005499I	JUMPER DID NOT DEPLOY MAIN OR RESERVE CHUTES. MAIN CHUTE RELEASE CABLE MISSING.
19900102000039A	LOST POWER AFTER TAKEOFF FORCED LANDING IN GRAVEL PIT,POSSIBLE CARB ICING CONDITIONS.
19900102002049A	EMERGENCY LANDING DUE TO SMOKE IN COCKPIT.
19900102003209I	NOSE GEAR RETRACTED WHILE TAXIING. BOLT ATTACHING DRAG LINK TO GEAR BROKE.
19900102003249I	RAPID DECOMPRESSION. MASKS DEPLOYED. DIVERTED. REPLACED AUTO PRESSURE CONTROLLER AND OUTFLOW VALVES.
19900102004359I	RIGHT GEAR COLLAPSED ON ROLLOUT, LIGHT INDICATED DOWN AND LOCKED. FOUND  BROKEN PUSH PULL TUBE.
19900102005829I	ROUGH ENGINE. NO RESPONSE TO THROTTLE. EMERGENCY LANDING, WAS MADE IN A FIELD.
19900102008189I	WHILE TURNING FROM DEICING AREA THE NOSEWHEEL ENCOUNTERED ICY SPOT AND SKIDDED ONTO SOFT SOD.
19900102008259I	HIT ICE BERM ON SNOWY RUNWAY. MADE GO AROUND. RIGHT GEAR WAS BENT. LANDED AND VEERED OFF RUNWAY WHEN GEAR COLLAPSED
19900102066289A	SMOKE ON FLIGHT DECK. DIVERTED BUT EVACUATATION INJURIES. AIR CONDITIONING PACK OVERHEATED. OIL RESIDUE BURNED.
19900103000049A	NEWLY OVERHAULED ENGINE TEST. LOST POWER ON CLIMBOUT. LANDED IN FIELD. INDICATES FUEL SELECTOR IN OFF POSITION.
19900103000059A	ENGINE LOST POWER. STALLED AND CRASHED ON A ROAD. CARBURETOR INLET STRAINER WAS MISSING. DIRT ON NEEDLE VALVE.
19900103000069A	STRUCK A SNOWBANK ON TAKEOFF ROLL AND FLIPPED OVER.
19900103000079A	LOST STUDENT GOT RADAR VECTORS TO NEAREST AIRPORT. LOST CONTROL LANDING. TRIED GO AROUND,HIT BUSHES AND A DITCH.
19900103001451A	TURNED RIGHT AFTER LANDING THEN RIGHT ON TAXIWAY,LEFT WING WENT THROUGH ARC OF IDLING PROP N12963 WAITING TAKEOFF.
19900103001452A	HOLDING WITH IDLING ENGINE. N7716M TURNED RIGHT OFF RUNWAY AFTER LANDING AND RIGHT AGAIN.LEFT WING HIT IDLING PROP
19900103002819I	RIGHT ENGINE OIL PRESSURE WARNING. SECURED AND LANDED. FOUND CRACKED FITTING ON GOVERNOR RESET LINE.
19900103002989I	WHILE TAXIING ON ICE COVERED LAKE NOSE WHEEL ENTERED A HOLE. PROPELLER STRUCK ICE.
19900103003219I	NR1 MAIN GEAR WHEEL AND TIRE ASSEMBLY DEPARTED ON TOUCH AND GO LANDING. RETAINING NUT ON AXLE FAILED.
19900103003229I	HYDRAULIC PROBLEM. FOUND EMERGENCY BRAKE ACCUMULATOR PRESSURE SWITCH LOOSE AND O RING LEAKING.
19900103004009I	UNSAFE GEAR WARNING ON CLIMB. EXTENDED GEAR AND LANDED SAFELY. STICKY GEAR OLEO NOT CONTACTING SQUAT SWITCH.
19900103005369I	TAXIING TO RAMP, LEFT WING STRUCK A PARKED AIRCRAFT. PILOT STATED GLARE ON WET WINDSHIELD AFFECTED VISIBILITY.
19900103005879I	NO DOWN AND LOCKED GEAR LIGHT. LANDED WITHOUT INCIDENT. REPLACED INOPERATIVE RIGHT GEAR WARNING LIGHT LAMP.
19900103013429I	RIGHT GEAR COLLAPSED WHILE TAXIING. NUT FELL OFF AND BOLT HOLDING GEAR LEG CAME OUT.
19900103020289I	RIGHT ENGINE PARTIALLY LOST POWER ON CLIMBOUT. RETURNED FOR LANDING.
19900103044979I	LEFT WING TIP STRUCK A JETWAY WHILE TURNING TO START TAXIING. SIGNAL MAN DIRECTING AIRCRAFT.
19900103049219I	LEFT GEAR COLLAPSED ON LANDING ROLLOUT. PIN CONNECTING BELLCRANK ASSEMBY HAD FAILED.
19900104000629A	DEPART INTO WORSENING WEATHER AT NIGHT WITH PASSENGER. UNABLE TO LOCATE VECTORED AIRPORTS BY ATC RAN OUT OF FUEL.
19900104003159I	DURING OPERATIONAL CHECK FOR MAINTENANCE, A LADDER WAS INGESTED INTO NR 1 ENGINE.
19900104003169I	MECHANIC HIT THE AIRCRAFT CONTROL SURFACE WITH A HANGAR DOOR. HAD FAILED TO FOLLOW COMPANY PROCEDURES.
19900104003179I	BAGGAGE HANDLER HIT NR2 ENGINE THRUST REVERSER WITH A BAGGAGE CART.
19900104003359I	RIGHT GEAR SAFE LIGHT INTERMITTENT ON APPROACH. LANDED SAFELY. HAD OPEN WIRE HARNESS SWITCH.
19900104003369I	FLAMES AND SMOKE IN OVEN. EXTINGUISHED AND RETURNED. OVEN FAN BLADES DISINTEGRATED AND HIT CAL RODS STARTING FIRE.
19900104003379I	APPEARS UNKNOWN PERSON SET FIRE INSIDE AIRCRAFT WHILE AIRCRAFT WAS PARKED IN HANGAR OVERNIGHT. AIRCRAFT DESTROYED.
19900104005909I	ENGINE ROUGH AND LOSING POWER. FORCED LANDING ON ROAD. FOUND NR3 CYLINDER HOLD DOWN STUD FAILURE.
19900104006849I	NR3 ENGINE SEPARATED IN FLIGHT. LANDED SAFELY. RECOVERED ENGINE. FOUND INGESTED MATERIAL FROM LAVATORY TANK.
19900104031609I	AIRCRAFT POWERED BY EXTERNAL ELECTRICAL AND BLEED AIR. AIR CYCLE MACHINE OVERHEATED CAUSING CABIN SMOKE.
19900105000149A	WORN FUEL SELECTOR MADE IT DIFFICULT TO SELECT POSITION WHEN USED FOR TRAINING. NOT IN DETENT. ENGINE QUIT.
