c5	remark
19800101000279A	PILOT STARTED ENGINE. ON CABIN DOOR SIDE, PASSENGER EXITED ACFT TO CHECK TO SEE IF CAR LOCKED. HIT PROPELLER.
19800101011119I	AFTER DECENT TO LOW LEVEL WITH REDUCED POWER AND PARTIAL CARBURETOR HEAT, THROTTLE WAS ADVANCED AND ENGINE QUIT.
19800101011129I	NOSE GEAR COLLAPSED AFTER LANDING. DOWNLOCK FAILED.
19800101011139I	STUDENT CRASHED OFF RUNWAY WHILE PRACTICING TOUCH AND GOES.
19800101011219I	ATTEMPTED TO PROP PLANE WITHOUT ASSISTANCE. ENGINE STARTED AND AIRCRAFT HIT A FENCE.
19800101011229I	PILOT NOTICED BULLET HOLE IN FLAP ON WALK AROUND. ASSUMES INCIDENT OCCURRED ON FLIGHT FROM WALLA WALLA TO YAKIMA.
19800101011239I	PILOT TAXIED INTO WATER FILLED CHUCK HOLE. NOSE WHEEL STRUT COLLAPSED, DAMAGING PROPELLER.
19800101011249I	
19800101013459I	ENGINE FAILED ON DOWNWIND LEG. THEN RAN INTERMITTENTLY. AIRCRAFT LANDED ACCESS AREA. PROPELLER & CARBURETOR DAMAGED
19800102000299A	LANDED ON TURF. OVERRUN NOSE WHEEL. SANK IN SOFT TURF. NOSED OVER ONTO RUNWAY. ADVISED TURF WAS OK. RUNWAY ICY.
19800102007589A	AIRPLANE HIT BUMP EN ROUTE AT NIGHT IN CALM AIR CAUSING AIRFRAME DAMAGE AND INJURY. CAUSE UNKNOWN.
19800102010209I	OIL PRESSURE DROPPED EN ROUTE. OIL SCAVENGER PUMP FAILED.
19800102010239I	ENGINE SHUT DOWN DUE TO ILLUMINATION OF OIL PRESSURE LIGHT.
19800102010249I	FUEL EXHAUSTION. UNEVENTFUL FORCED LANDING. AIR TAXI FLIGHT.
19800102010939I	ON TAKE-OFF ROLL AND BEFORE FLYING SPEED, AIRCRAFT SETTLED TO RUNWAY.
19800102010949I	PILOT TAXIED INTO PARKED AIRCRAFT. AIRPORT POLICE TOOK REPORT.
19800102010959I	CARGO DOOR NOT SECURED. OPENED IN FLIGHT. AIRCRAFT RETURNED TO AIRPORT AND DOOR WAS SECURED.
19800102010969I	OIL PRESSURE DROPPED IN FLIGHT. SHUT DOWN ONE ENGINE. PISTON RING FAILURE.
19800102010979I	NOSE GEAR AXLE BROKE, WHEEL ROLLED BACK INTO PROPELLER, DAMAGED ALL FOUR BLADES.
19800103000019A	CABIN DOOR CAME OPEN ON FINAL. AIRPLANE HIT FENCE SEVERING GEAR AND STABILATOR. LANDED ON RUNWAY. NO DEFECTS.
19800103000049A	PLANE CRASHED IN FIELD. NO CAUSE WAS FOUND.
19800103000101A	OVERTOOK AND COLLIDED WITH ANOTHER HELICOPTER. IMPACT DESTROYED MAIN ROTORS. CRASHED INTO SWAMP.
19800103000102A	HELICOPTER WAS OVERTAKEN AND STRUCK BY OTHER HELICOPTER. LOST ROTORS. SPUN INTO A SWAMP.
19800103000249I	AIRCRAFT LANDED IN TREE TOPS ON THE EDGE OF THE LANDING STRIP.
19800103000629A	AIRPLANE STRUCK A RUNWAY LIGHT TURNING OFF RUNWAY AFTER LANDING.
19800103000639A	PIC DRAGGING INFLATED BALLOON OVER GROUND WITH STUDENT USING BURNER.BALLOON ROSE.PIC HELD TO 60 FT ALT.FELL TO GRND
19800103000669A	ENGINE QUIT. TRIED TO MAKE NEARBY AIRPORT. LANDED SHORT. FOUND DEFECTIVE FUEL PUMP. DID NOT USE AUXILIARY PUMP.
19800103010169I	CREW FELT VIBRATION FROM NOSE GEAR. MAINTENANCE FOUND RIGHT NOSE DOOR OPEN AND CABLE BROKEN.
19800103010189I	STUDENT PILOT FOLLOWED WRONG HIGHWAY ON CROSS COUNTRY FLIGHT AND LANDED AT NAVAL AIR STATION.
19800103010199I	PILOT FAILED TO MAINTAIN DIRECTIONAL CONTROL ON ABORTED TAKEOFF. TOUCHED DOWN IN A CRAB. LANDING GEAR COLLAPSED.
19800103010219I	PILOT'S SLIDING WINDOW OUTER PANE CRACKED. REPLACED BY MAINTENANCE AT O'HARE.
19800103010259I	ON CLIMBOUT AT 1500 FT BIRD STRIKE OCCURRED IN ONE ENGINE. RETURNED TO JFK DUE TO COWL, FAN, COMPRESSOR DAMAGE.
19800103010269I	ABORTED TAKEOFF TWICE DUE TO COMPRESSOR STALLS. NUMBER FOUR ENGINE REMOVED. REPLACED ENGINE.
19800103011099I	PILOT TAXIED OFF TAXIWAY IN ICY CONDITIONS. TOWER FAILED TO ADVISE OF ICE.
19800103011109I	#1 ENGINE EPR IN CAUTION RANGE WHEN POWER REDUCED TO CLIMB ON TAKEOFF,NEW ORLEANS. REPLACED BROKEN TUBE LINE TO EPR
19800103012099I	AFTER LEVEL-OFF, PILOT DISCOVERED NO LEFT AILERON CONTROL. FRAGMENT OF PLASTIC TIE LODGED IN CONTROL YOKE.
19800103013299I	LEFT ENGINE SHUT DOWN AFTER POWER LOSS. P.N. 288943 FAILED CAUSING DAMAGE TO IMPELLER SECTION OF ENGINE.
19800103013379I	AIRCRAFT DRIFTED RIGHT ON TAKEOFF,STRIKING SNOW BANK. NOSE GEAR DOWNLOCK BROKEN. NOSE GEAR COLLAPSED ON LANDING.
19800103013889I	GEAR POSITION LIGHTS SHOWED UNLOCKED POSITION RIGHT MAIN GEAR. INBOARD DOOR FORWARD HINGE PN46653-00 FAILED.
19800103082919A	CRASHED & BURNED ON FINAL APPROACH. CAUSE UNKNOWN.
19800104000169A	ENGINE LOST POWER ON TAKEOFF DUE TO REPORTED CARB ICING. AIRCRAFT HIT TREES IN SWAMP OFF END OF RUNWAY.
19800104000189A	TAXIED TOO CLOSE TO END OF JET BLAST FENCE. JET BLAST GROUND-LOOPED THE SMALL AIRCRAFT.
19800104000259A	PILOT AND PASSENGER WERE HUNTING COYOTES FROM THE AIR. CLAIMED ENGINE FAILURE. NO ENGINE PROBLEM FOUND.
19800104000339A	HELICOPTER LOST CYCLIC CONTROL AT HOVER. MADE HARD LANDING. FOUND PIVOT BOLT MISSING, ALSO INADEQUATE MAINTENANCE.
19800104000349A	LANDED LONG AND FAST WITH LIGHT WIND. UNABLE TO STOP ON RUNWAY. RAN OFF END OF RUNWAY, HIT DITCH AND STEEL POSTS.
19800104000419A	
19800104000579A	AIRPLANE DITCHED OFF COAST OF CUBA. TWO PERSONS RESCUED DENIED BEING PILOT. OWNER, TYPE OF FLIGHT, UNKNOWN.
